Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team 
1990,Schenectady,Schenectady,1990.08.20,28,16,Outdoor Hard,"$150,000",Ramesh Krishnan,Richard Fromberg Brad Pearce,
1990,US Open,New York,1990.08.27,128,64,Outdoor Hard,"$2,554,250",Pete Sampras,Pieter Aldrich Danie Visser,
1990,Bordeaux,Bordeaux,1990.09.10,32,16,Outdoor Clay,"$300,000",Guy Forget,Tomas Carbonell Libor Pimek,
1990,Geneva,Geneva,1990.09.10,32,16,Outdoor Clay,"$250,000",Horst Skoff,Pablo Albano David Engel,
1990,Basel,Basel,1990.09.24,32,16,Indoor Hard,"$500,000",John McEnroe,Stefan Kruger Christo Van Rensburg,
1990,Palermo,Palermo,1990.09.24,32,16,Outdoor Clay,"$295,000",Franco Davin,Sergio Casal Emilio Sanchez,
1990,Brisbane,Brisbane,1990.09.24,32,16,Outdoor Hard,"$250,000",Brad Gilbert,Jason Stoltenberg Todd Woodbridge,
1990,Sydney-2,Sydney,1990.10.01,48,24,Indoor Hard,"$1,000,000",Boris Becker,Broderick Dyke Peter Lundgren,
1990,Toulouse,Toulouse,1990.10.01,32,16,Indoor Hard,"$300,000",Jonas Svensson,Neil Broad Gary Muller,
1990,Athens,Athens,1990.10.01,32,16,Outdoor Clay,"$150,000",Mark Koevermans,Sergio Casal Javier Sanchez,
1990,Tokyo-2,Tokyo,1990.10.08,48,24,Indoor Carpet,"$1,000,000",Ivan Lendl,Guy Forget Jakob Hlasek,
1990,Berlin,Berlin,1990.10.08,32,16,Indoor Carpet,"$300,000",Ronald Agenor,Pieter Aldrich Danie Visser,
1990,Tel Aviv,Tel Aviv,1990.10.08,32,16,Outdoor Hard,"$150,000",Andrei Chesnokov,Nduka Odizor Christo Van Rensburg,
1990,Lyon,Lyon,1990.10.15,32,16,Indoor Carpet,"$500,000",Marc Rosset,Patrick Galbraith Kelly Jones,
1990,Vienna,Vienna,1990.10.15,32,16,Indoor Carpet,"$250,000",Anders Jarryd,Udo Riglewski Michael Stich,
1990,ATP Masters 1000 Stockholm,Stockholm,1990.10.22,48,24,Indoor Carpet,"$1,100,000",Boris Becker,Guy Forget Jakob Hlasek,
1990,Sao Paulo,Sao Paulo,1990.10.22,32,16,Outdoor Carpet,"$150,000",Robbie Weiss,Shelby Cannon Alfonso Mora,
1990,ATP Masters 1000 Paris,Paris,1990.10.29,48,24,Indoor Carpet,"$2,000,000",Stefan Edberg,Scott Davis David Pate,
1990,Moscow,Moscow,1990.11.05,32,16,Indoor Carpet,"$330,000",Andrei Cherkasov,Hendrik Jan Davids Paul Haarhuis,
1990,Wembley,Wembley,1990.11.05,32,16,Indoor Carpet,"$330,000",Jakob Hlasek,Jim Grabb Patrick McEnroe,
1990,Itaparica,Itaparica,1990.11.05,32,16,Outdoor Hard,"$250,000",Mats Wilander,Mauro Menezes Fernando Roese,
1990,ATP Tour World Championship,,1990.11.12,8,0,Indoor Carpet,"$2,000,000",Andre Agassi,,
1990,ATP Tour World Doubles Championship,Sanctuary Cove,1990.11.19,0,9,Outdoor Hard,"$1,000,000",,Guy Forget Jakob Hlasek,
1990,Grand Slam Cup,"Munich, Germany",1990.12.11,16,0,Indoor Carpet,"$6,000,000",Pete Sampras,,
1991,Adelaide,Adelaide,1990.12.31,32,16,Outdoor Hard,"$175,000",Nicklas Kulti,Wayne Ferreira Stefan Kruger,
1991,Wellington,Wellington,1990.12.31,32,16,Outdoor Hard,"$175,000",Richard Fromberg,Luiz Mattar Nicolas Pereira,
1991,Sydney-1,Sydney,1991.01.07,32,16,Outdoor Hard,"$250,000",Guy Forget,Scott Davis David Pate,
1991,Auckland,Auckland,1991.01.07,32,16,Outdoor Hard,"$175,000",Karel Novacek,Sergio Casal Emilio Sanchez,
1991,Australian Open,Melbourne,1991.01.14,128,64,Outdoor Hard,,Boris Becker,Scott Davis David Pate,
1991,Milan,Milan,1991.02.04,32,16,Indoor Carpet,"$600,000",Alexander Volkov,Omar Camporese Goran Ivanisevic,
1991,San Francisco,San Francisco,1991.02.04,32,16,Indoor Carpet,"$250,000",Darren Cahill,Wally Masur Jason Stoltenberg,
1991,Guaruja-1,Guaruja,1991.02.04,32,16,Outdoor Hard,"$150,000",Patrick Baur,Olivier Delaitre Rodolphe Gilbert,
1991,Philadelphia,Philadelphia,1991.02.11,48,24,Indoor Carpet,"$1,000,000",Ivan Lendl,Rick Leach Jim Pugh,
1991,Brussels,Brussels,1991.02.11,32,16,Indoor Carpet,"$600,000",Guy Forget,Mark Woodforde Todd Woodbridge,
1991,Stuttgart-1,Stuttgart,1991.02.18,32,16,Indoor Carpet,"$1,000,000",Stefan Edberg,Sergio Casal Emilio Sanchez,
1991,Memphis,Memphis,1991.02.18,48,24,Indoor Hard,"$750,000",Ivan Lendl,Udo Riglewski Michael Stich,
1991,Rotterdam,Rotterdam,1991.02.25,32,16,Indoor Carpet,"$500,000",Omar Camporese,Patrick Galbraith Anders Jarryd,
1991,Chicago,Chicago,1991.02.25,32,16,Indoor Carpet,"$250,000",John McEnroe,Scott Davis David Pate,
1991,ATP Masters 1000 Indian Wells,Indian Wells,1991.03.04,56,28,Outdoor Hard,"$1,000,000",Jim Courier,Jim Courier Javier Sanchez,
1991,Copenhagen,Copenhagen,1991.03.04,32,16,Indoor Carpet,"$150,000",Jonas Svensson,Mark Woodforde Todd Woodbridge,
1991,ATP Masters 1000 Miami,Miami,1991.03.15,96,48,Outdoor Hard,"$1,500,000",Jim Courier,Wayne Ferreira Piet Norval,
1991,Estoril,Estoril,1991.04.01,32,16,Outdoor Clay,"$375,000",Sergi Bruguera,Paul Haarhuis Mark Koevermans,
1991,Hong Kong,Hong Kong,1991.04.01,32,16,Outdoor Hard,"$260,000",Richard Krajicek,Patrick Galbraith Todd Witsken,
1991,Orlando,Orlando,1991.04.01,32,16,Outdoor Hard,"$250,000",Andre Agassi,Luke Jensen Scott Melville,
1991,Tokyo-1,Tokyo,1991.04.08,56,28,Outdoor Hard,"$1,000,000",Stefan Edberg,Stefan Edberg Todd Woodbridge,
1991,Barcelona,Barcelona,1991.04.08,56,28,Outdoor Clay,"$650,000",Emilio Sanchez,Horacio de la Pena Diego Nargiso,
1991,Nice,Nice,1991.04.15,32,16,Outdoor Clay,"$250,000",Martin Jaite,Rikard Bergh Jan Gunnarsson,
1991,Seoul,Seoul,1991.04.15,32,16,Outdoor Hard,"$165,000",Patrick Baur,Alex Antonitsch Gilad Bloom,
1991,ATP Masters 1000 Monte Carlo,Monte Carlo,1991.04.22,56,28,Outdoor Clay,"$1,000,000",Sergi Bruguera,Luke Jensen Laurie Warder,
1991,Singapore,Singapore,1991.04.22,32,16,Outdoor Hard,"$250,000",Jan Siemerink,Grant Connell Glenn Michibata,
1991,Madrid,Madrid,1991.04.29,32,16,Outdoor Clay,"$500,000",Jordi Arrese,Gustavo Luza Cassio Motta,
1991,Munich,Munich,1991.04.29,32,16,Outdoor Clay,"$250,000",Magnus Gustafsson,Patrick Galbraith Todd Witsken,
1991,Tampa,Tampa,1991.04.29,32,16,Outdoor Clay,"$250,000",Richey Reneberg,Ken Flach Robert Seguso,
1991,ATP Masters 1000 Hamburg,Hamburg,1991.05.06,56,28,Outdoor Clay,"$1,000,000",Karel Novacek,Sergio Casal Emilio Sanchez,
1991,Charlotte,Charlotte,1991.05.06,32,16,Outdoor Clay,"$250,000",Jaime Yzaga,Rick Leach Jim Pugh,
1991,ATP Masters 1000 Rome,Rome,1991.05.13,64,32,Outdoor Clay,"$1,280,000",Emilio Sanchez,Omar Camporese Goran Ivanisevic,
1991,Umag,Umag,1991.05.13,32,16,Outdoor Clay,"$250,000",Dimitri Poliakov,Gilad Bloom Javier Sanchez,
1991,World Team Cup,Dusseldorf,1991.05.20,32,16,Outdoor Clay,"$1,277,500",Magnus Gustafsson, Sweden,
1991,Bologna,Bologna,1991.05.20,32,16,Outdoor Clay,"$250,000",Paolo Cane,Luke Jensen Laurie Warder,
1991,Roland Garros,Paris,1991.05.27,128,64,Outdoor Clay,,Jim Courier,John Fitzgerald Anders Jarryd,
1991,London / Queen's Club,London,1991.06.10,56,28,Outdoor Grass,"$500,000",Stefan Edberg,Mark Woodforde Todd Woodbridge,
1991,Florence,Florence,1991.06.10,32,16,Outdoor Clay,"$250,000",Thomas Muster,Ola Jonsson Magnus Larsson,
1991,Rosmalen,Rosmalen,1991.06.10,32,16,Outdoor Grass,"$250,000",Christian Saceanu,Hendrik Jan Davids Paul Haarhuis,
1991,Genoa,Genoa,1991.06.17,32,16,Outdoor Clay,"$250,000",Carl-Uwe Steeb,Marcos Aurelio Gorriz Alfonso Mora,
1991,Manchester,Manchester,1991.06.17,32,16,Outdoor Grass,"$250,000",Goran Ivanisevic,Omar Camporese Goran Ivanisevic,
1991,Wimbledon,London,1991.06.24,128,64,Outdoor Grass,,Michael Stich,John Fitzgerald Anders Jarryd,
1991,Gstaad,Gstaad,1991.07.08,32,16,Outdoor Clay,"$305,000",Emilio Sanchez,Gary Muller Danie Visser,
1991,Bastad,Bastad,1991.07.08,32,16,Outdoor Clay,"$250,000",Magnus Gustafsson,Ronnie Bathman Rikard Bergh,
1991,Newport,Newport,1991.07.08,32,16,Outdoor Grass,"$175,000",Bryan Shelton,Gianluca Pozzi Brett Steven,
1991,Stuttgart-2,Stuttgart,1991.07.15,48,24,Outdoor Clay,"$1,000,000",Michael Stich,Wally Masur Emilio Sanchez,
1991,Washington,Washington,1991.07.15,56,28,Outdoor Hard,"$550,000",Andre Agassi,Scott Davis David Pate,
1991,ATP Masters 1000 Canada,Montreal,1991.07.22,56,28,Outdoor Hard,"$1,200,000",Andrei Chesnokov,Patrick Galbraith Todd Witsken,
1991,Hilversum,Hilversum,1991.07.22,32,16,Outdoor Clay,"$250,000",Magnus Gustafsson,Richard Krajicek Jan Siemerink,
1991,Kitzbuhel,Kitzbuhel,1991.07.29,48,24,Outdoor Clay,"$375,000",Karel Novacek,Tomas Carbonell Francisco Roig,
1991,Los Angeles,Los Angeles,1991.07.29,32,16,Outdoor Hard,"$250,000",Pete Sampras,Javier Frana Jim Pugh,
1991,San Marino,San Marino,1991.07.29,32,16,Outdoor Clay,"$225,000",Guillermo Perez-Roldan,Jordi Arrese Carlos Costa,
1991,ATP Masters 1000 Cincinnati,Cincinnati,1991.08.05,56,28,Outdoor Hard,"$1,300,000",Guy Forget,Ken Flach Robert Seguso,
1991,Prague,Prague,1991.08.05,32,16,Outdoor Clay,"$350,000",Karel Novacek,Vojtech Flegl Cyril Suk,
1991,Indianapolis,Indianapolis,1991.08.12,56,28,Outdoor Hard,"$1,000,000",Pete Sampras,Ken Flach Robert Seguso,
1991,New Haven,New Haven,1991.08.12,56,28,Outdoor Hard,"$1,000,000",Petr Korda,Petr Korda Wally Masur,
1991,Long Island,Long Island,1991.08.19,32,16,Outdoor Hard,"$250,000",Ivan Lendl,Eric Jelen Carl-Uwe Steeb,
1991,Schenectady,Schenectady,1991.08.19,32,16,Outdoor Hard,"$150,000",Michael Stich,Javier Sanchez Todd Woodbridge,
1991,US Open,New York,1991.08.26,128,64,Outdoor Hard,,Stefan Edberg,John Fitzgerald Anders Jarryd,
1991,Bordeaux,Bordeaux,1991.09.09,32,16,Outdoor Hard,"$300,000",Guy Forget,Arnaud Boetsch Guy Forget,
1991,Brasilia,Brasilia,1991.09.09,48,24,Outdoor Carpet,"$250,000",Andres Gomez,Kent Kinnear Roger Smith,
1991,Geneva,Geneva,1991.09.09,32,16,Outdoor Clay,"$250,000",Thomas Muster,Sergi Bruguera Marc Rosset,
1991,Basel,Basel,1991.09.23,32,16,Indoor Hard,"$750,000",Jakob Hlasek,Jakob Hlasek Patrick McEnroe,
1991,Palermo,Palermo,1991.09.23,32,16,Outdoor Clay,"$300,000",Frederic Fontang,Jacco Eltingh Tom Kempers,
1991,Brisbane,Brisbane,1991.09.23,32,16,Outdoor Hard,"$250,000",Gianluca Pozzi,Mark Woodforde Todd Woodbridge,
1991,Sydney-2,Sydney,1991.09.30,48,24,Indoor Hard,"$1,000,000",Stefan Edberg,Jim Grabb Richey Reneberg,
1991,Toulouse,Toulouse,1991.09.30,32,16,Indoor Hard,"$300,000",Guy Forget,Tom Nijssen Cyril Suk,
1991,Athens,Athens,1991.09.30,32,16,Outdoor Clay,"$150,000",Sergi Bruguera,Jacco Eltingh Mark Koevermans,
1991,Tokyo-2,Tokyo,1991.10.07,48,24,Indoor Carpet,"$1,000,000",Stefan Edberg,Jim Grabb Richey Reneberg,
1991,Berlin,Berlin,1991.10.07,32,16,Indoor Carpet,"$300,000",Petr Korda,Petr Korda Karel Novacek,
1991,Tel Aviv,Tel Aviv,1991.10.07,32,16,Outdoor Hard,"$150,000",Leonardo Lavalle,David Rikl Michiel Schapers,
1991,Lyon,Lyon,1991.10.14,32,16,Indoor Carpet,"$500,000",Pete Sampras,Tom Nijssen Cyril Suk,
1991,Vienna,Vienna,1991.10.14,32,16,Indoor Carpet,"$250,000",Michael Stich,Anders Jarryd Gary Muller,
1991,ATP Masters 1000 Stockholm,Stockholm,1991.10.21,48,24,Indoor Carpet,"$1,100,000",Boris Becker,John Fitzgerald Anders Jarryd,
1991,Guaruja-2,Guaruja,1991.10.21,32,16,Outdoor Hard,"$150,000",Javier Frana,Jacco Eltingh Paul Haarhuis,
1991,ATP Masters 1000 Paris,Paris,1991.10.28,48,24,Indoor Carpet,"$2,000,000",Guy Forget,John Fitzgerald Anders Jarryd,
1991,Buzios,Buzios,1991.10.28,32,16,Outdoor Hard,"$172,500",Jordi Arrese,Sergio Casal Emilio Sanchez,
1991,Birmingham,Birmingham,1991.11.04,32,16,Indoor Carpet,"$500,000",Michael Chang,Jacco Eltingh Paul Wekesa,
1991,Moscow,Moscow,1991.11.04,32,16,Indoor Carpet,"$330,000",Andrei Cherkasov,Eric Jelen Carl-Uwe Steeb,
1991,Sao Paulo,Sao Paulo,1991.11.04,32,16,Outdoor Hard,"$275,000",Christian Miniussi,Andres Gomez Jaime Oncins,
1991,ATP Tour World Championship,,1991.11.12,8,0,Indoor Carpet,"$2,250,000",Pete Sampras,,
1991,ATP Tour World Doubles Championship,Johannesburg,1991.11.20,0,9,Indoor Hard,"$1,000,000",,John Fitzgerald Anders Jarryd,
1991,Grand Slam Cup,"Munich, Germany",1991.12.10,16,0,Indoor Carpet,"$6,000,000",David Wheaton,,
1992,Adelaide,Adelaide,1991.12.30,32,16,Outdoor Hard,"$182,500",Goran Ivanisevic,Goran Ivanisevic Marc Rosset,
1992,Wellington,Wellington,1991.12.30,32,16,Outdoor Hard,"$182,500",Jeff Tarango,Jared Palmer Jonathan Stark,
1992,Sydney-1,Sydney,1992.01.06,32,16,Outdoor Hard,"$260,000",Emilio Sanchez,Sergio Casal Emilio Sanchez,
1992,Auckland,Auckland,1992.01.06,32,16,Outdoor Hard,"$182,500",Jaime Yzaga,Wayne Ferreira Jim Grabb,
1992,Australian Open,Melbourne,1992.01.13,128,64,Outdoor Hard,,Jim Courier,Mark Woodforde Todd Woodbridge,
1992,Milan,Milan,1992.02.03,32,16,Indoor Carpet,"$625,000",Omar Camporese,Neil Broad David Macpherson,
1992,San Francisco,San Francisco,1992.02.03,32,16,Indoor Hard,"$260,000",Michael Chang,Jim Grabb Richey Reneberg,
1992,Maceio,Maceio,1992.02.03,32,16,Outdoor Clay,"$155,000",Tomas Carbonell,Gabriel Markus John Sobel,
1992,Brussels,Brussels,1992.02.10,32,16,Indoor Carpet,"$800,000",Boris Becker,Boris Becker John McEnroe,
1992,Memphis,Memphis,1992.02.10,48,24,Indoor Hard,"$780,000",MaliVai Washington,Mark Woodforde Todd Woodbridge,
1992,Philadelphia,Philadelphia,1992.02.17,48,24,Indoor Carpet,"$1,040,000",Pete Sampras,Mark Woodforde Todd Woodbridge,
1992,Stuttgart-1,Stuttgart,1992.02.17,32,16,Indoor Carpet,"$1,040,000",Goran Ivanisevic,Tom Nijssen Cyril Suk,
1992,Rotterdam,Rotterdam,1992.02.24,32,16,Indoor Carpet,"$525,000",Boris Becker,Marc-Kevin Goellner David Prinosil,
1992,Scottsdale,Scottsdale,1992.02.24,32,16,Outdoor Hard,"$260,000",Stefano Pescosolido,Mark Keil Dave Randall,
1992,ATP Masters 1000 Indian Wells,Indian Wells,1992.03.02,56,28,Outdoor Hard,"$1,075,000",Michael Chang,Steve DeVries David Macpherson,
1992,Copenhagen,Copenhagen,1992.03.02,32,16,Indoor Carpet,"$155,000",Magnus Larsson,Nicklas Kulti Magnus Larsson,
1992,ATP Masters 1000 Miami,Miami,1992.03.13,96,48,Outdoor Hard,"$1,625,000",Michael Chang,Ken Flach Todd Witsken,
1992,Casablanca,Casablanca,1992.03.16,32,16,Outdoor Clay,"$155,000",Guillermo Perez-Roldan,Horacio de la Pena Jorge Lozano,
1992,Estoril,Estoril,1992.03.30,32,16,Outdoor Clay,"$502,500",Carlos Costa,Hendrik Jan Davids Libor Pimek,
1992,Johannesburg,Johannesburg,1992.03.30,32,16,Outdoor Hard,"$300,000",Aaron Krickstein,Pieter Aldrich Danie Visser,
1992,Singapore,Singapore,1992.03.30,32,16,Outdoor Hard,"$265,000",Simon Youl,Mark Woodforde Todd Woodbridge,
1992,Tokyo-1,Tokyo,1992.04.06,56,28,Outdoor Hard,"$1,040,000",Jim Courier,Kelly Jones Rick Leach,
1992,Barcelona,Barcelona,1992.04.06,56,28,Outdoor Clay,"$800,000",Carlos Costa,Andres Gomez Javier Sanchez,
1992,Hong Kong,Hong Kong,1992.04.13,32,16,Outdoor Hard,"$300,000",Jim Courier,Brad Gilbert Jim Grabb,
1992,Nice,Nice,1992.04.13,32,16,Outdoor Clay,"$260,000",Gabriel Markus,Patrick Galbraith Scott Melville,
1992,Tampa,Tampa,1992.04.13,32,16,Outdoor Clay,"$260,000",Jaime Yzaga,Mike Briggs Trevor Kronemann,
1992,ATP Masters 1000 Monte Carlo,Monte Carlo,1992.04.20,56,28,Outdoor Clay,"$1,270,000",Thomas Muster,Boris Becker Michael Stich,
1992,Seoul,Seoul,1992.04.20,32,16,Outdoor Hard,"$171,500",Shuzo Matsuoka,Kevin Curren Gary Muller,
1992,Madrid,Madrid,1992.04.27,32,16,Outdoor Clay,"$750,000",Sergi Bruguera,Patrick Galbraith Patrick McEnroe,
1992,Munich,Munich,1992.04.27,32,16,Outdoor Clay,"$300,000",Magnus Larsson,David Adams Menno Oosting,
1992,Atlanta,Atlanta,1992.04.27,32,16,Outdoor Clay,"$260,000",Andre Agassi,Steve DeVries David Macpherson,
1992,ATP Masters 1000 Hamburg,Hamburg,1992.05.04,56,28,Outdoor Clay,"$1,250,000",Stefan Edberg,Sergio Casal Emilio Sanchez,
1992,Charlotte,Charlotte,1992.05.04,32,16,Outdoor Clay,"$260,000",MaliVai Washington,Steve DeVries David Macpherson,
1992,ATP Masters 1000 Rome,Rome,1992.05.11,64,32,Outdoor Clay,"$1,403,000",Jim Courier,Jakob Hlasek Marc Rosset,
1992,World Team Cup,Dusseldorf,1992.05.18,32,16,Outdoor Clay,"$1,377,500",Sergi Bruguera, Spain,
1992,Bologna,Bologna,1992.05.18,32,16,Outdoor Clay,"$265,000",Jaime Oncins,Luke Jensen Laurie Warder,
1992,Roland Garros,Paris,1992.05.25,128,64,Outdoor Clay,,Jim Courier,Jakob Hlasek Marc Rosset,
1992,London / Queen's Club,London,1992.06.08,56,28,Outdoor Grass,"$525,000",Wayne Ferreira,John Fitzgerald Anders Jarryd,
1992,Florence,Florence,1992.06.08,32,16,Outdoor Clay,"$260,000",Thomas Muster,Marcelo Filippini Luiz Mattar,
1992,Rosmalen,Rosmalen,1992.06.08,32,16,Outdoor Grass,"$260,000",Michael Stich,Jim Grabb Richey Reneberg,
1992,Genoa,Genoa,1992.06.15,32,16,Outdoor Clay,"$260,000",Andrei Medvedev,Shelby Cannon Greg Van Emburgh,
1992,Manchester,Manchester,1992.06.15,32,16,Outdoor Grass,"$260,000",Jacco Eltingh,Patrick Galbraith David Macpherson,
1992,Wimbledon,London,1992.06.22,128,64,Outdoor Grass,,Andre Agassi,John McEnroe Michael Stich,
1992,Gstaad,Gstaad,1992.07.06,32,16,Outdoor Clay,"$330,500",Sergi Bruguera,Hendrik Jan Davids Libor Pimek,
1992,Bastad,Bastad,1992.07.06,32,16,Outdoor Clay,"$260,000",Magnus Gustafsson,Tomas Carbonell Christian Miniussi,
1992,Newport,Newport,1992.07.06,32,16,Outdoor Grass,"$200,000",Bryan Shelton,Royce Deppe David Rikl,
1992,Stuttgart-2,Stuttgart,1992.07.13,48,24,Outdoor Clay,"$1,040,000",Andrei Medvedev,Glenn Layendecker Byron Talbot,
1992,Washington,Washington,1992.07.13,56,28,Outdoor Hard,"$625,000",Petr Korda,Bret Garnett Jared Palmer,
1992,ATP Masters 1000 Canada,Toronto,1992.07.20,56,28,Outdoor Hard,"$1,295,000",Andre Agassi,Patrick Galbraith Danie Visser,
1992,Kitzbuhel,Kitzbuhel,1992.07.20,48,24,Outdoor Clay,"$392,500",Pete Sampras,Sergio Casal Emilio Sanchez,
1992,Hilversum,Hilversum,1992.07.20,32,16,Outdoor Clay,"$260,000",Karel Novacek,Paul Haarhuis Mark Koevermans,
1992,San Marino,San Marino,1992.07.27,32,16,Outdoor Clay,"$260,000",Karel Novacek,Nicklas Kulti Mikael Tillstrom,
1992,Barcelona Olympics,Barcelona,1992.07.27,64,32,Outdoor Clay,,Marc Rosset,Boris Becker Michael Stich,
1992,Los Angeles,Los Angeles,1992.08.03,32,16,Outdoor Hard,"$260,000",Richard Krajicek,Patrick Galbraith Jim Pugh,
1992,ATP Masters 1000 Cincinnati,Cincinnati,1992.08.10,56,28,Outdoor Hard,"$1,405,000",Pete Sampras,Mark Woodforde Todd Woodbridge,
1992,Prague,Prague,1992.08.10,32,16,Outdoor Clay,"$365,000",Karel Novacek,Karel Novacek Branislav Stankovic,
1992,Indianapolis,Indianapolis,1992.08.17,56,28,Outdoor Hard,"$1,040,000",Pete Sampras,Jim Grabb Richey Reneberg,
1992,New Haven,New Haven,1992.08.17,56,28,Outdoor Hard,"$1,040,000",Stefan Edberg,Kelly Jones Rick Leach,
1992,Long Island,Long Island,1992.08.24,32,16,Outdoor Hard,"$260,000",Petr Korda,Francisco Montana Greg Van Emburgh,
1992,Umag,Umag,1992.08.24,32,16,Outdoor Clay,"$260,000",Thomas Muster,David Prinosil Richard Vogel,
1992,Schenectady,Schenectady,1992.08.24,32,16,Outdoor Hard,"$155,000",Wayne Ferreira,Jacco Eltingh Paul Haarhuis,
1992,US Open,New York,1992.08.31,128,64,Outdoor Hard,,Stefan Edberg,Jim Grabb Richey Reneberg,
1992,Bordeaux,Bordeaux,1992.09.14,32,16,Outdoor Clay,"$330,000",Andrei Medvedev,Sergio Casal Emilio Sanchez,
1992,Cologne,Cologne,1992.09.14,32,16,Outdoor Clay,"$270,000",Bernd Karbacher,Horacio de la Pena Gustavo Luza,
1992,Basel,Basel,1992.09.28,32,16,Indoor Hard,"$775,000",Boris Becker,Tom Nijssen Cyril Suk,
1992,Palermo,Palermo,1992.09.28,32,16,Outdoor Clay,"$315,000",Sergi Bruguera,Johan Donar Ola Jonsson,
1992,Brisbane,Brisbane,1992.09.28,32,16,Outdoor Hard,"$260,000",Guillaume Raoux,Steve DeVries David Macpherson,
1992,Sydney-2,Sydney,1992.10.05,48,24,Indoor Hard,"$1,075,000",Goran Ivanisevic,Patrick McEnroe Jonathan Stark,
1992,Toulouse,Toulouse,1992.10.05,32,16,Indoor Hard,"$315,000",Guy Forget,Brad Pearce Byron Talbot,
1992,Athens,Athens,1992.10.05,32,16,Outdoor Clay,"$155,000",Jordi Arrese,Tomas Carbonell Francisco Roig,
1992,Tokyo-2,Tokyo,1992.10.12,48,24,Indoor Carpet,"$1,075,000",Ivan Lendl,Mark Woodforde Todd Woodbridge,
1992,Bolzano,Bolzano,1992.10.12,32,16,Indoor Carpet,"$310,000",Thomas Enqvist,Anders Jarryd Bent-Ove Pedersen,
1992,Tel Aviv,Tel Aviv,1992.10.12,32,16,Outdoor Hard,"$155,000",Jeff Tarango,Mike Bauer Joao Cunha-Silva,
1992,Lyon,Lyon,1992.10.19,32,16,Indoor Carpet,"$600,000",Pete Sampras,Jakob Hlasek Marc Rosset,
1992,Taipei,Taipei,1992.10.19,32,16,Indoor Carpet,"$310,000",Jim Grabb,John Fitzgerald Sandon Stolle,
1992,Vienna,Vienna,1992.10.19,32,16,Indoor Carpet,"$305,000",Petr Korda,Ronnie Bathman Anders Jarryd,
1992,ATP Masters 1000 Stockholm,Stockholm,1992.10.26,48,24,Indoor Carpet,"$1,300,000",Goran Ivanisevic,Mark Woodforde Todd Woodbridge,
1992,Guaruja,Guaruja,1992.10.26,32,16,Outdoor Hard,"$155,000",Carsten Arriens,Christer Allgardh Carl Limberger,
1992,ATP Masters 1000 Paris,Paris,1992.11.02,48,24,Indoor Carpet,"$2,165,000",Boris Becker,John McEnroe Patrick McEnroe,
1992,Buzios,Buzios,1992.11.02,32,16,Outdoor Hard,"$182,500",Jaime Oncins,Maurice Ruah Mario Tabares,
1992,Antwerp,Antwerp,1992.11.09,32,16,Indoor Carpet,"$1,100,000",Richard Krajicek,John Fitzgerald Anders Jarryd,
1992,Moscow,Moscow,1992.11.09,32,16,Indoor Carpet,"$348,000",Marc Rosset,Marius Barnard John-Laffnie de Jager,
1992,Sao Paulo,Sao Paulo,1992.11.09,32,16,Outdoor Hard,"$260,000",Luiz Mattar,Diego Perez Francisco Roig,
1992,ATP Tour World Championship,,1992.11.16,8,0,Indoor Carpet,"$2,500,000",Boris Becker,,
1992,ATP Tour World Doubles Championship,"Johannesburg, South Africa",1992.11.16,0,9,Outdoor Hard,"$1,000,000",,Mark Woodforde Todd Woodbridge,
1992,Grand Slam Cup,"Munich, Germany",1992.12.08,16,0,Indoor Carpet,"$6,000,000",Michael Stich,,
1993,Doha,Doha,1993.01.04,32,16,Outdoor Hard,"$475,000",Boris Becker,Boris Becker Patrik Kuhnen,
1993,Kuala Lumpur-1,Kuala Lumpur,1993.01.04,32,16,Outdoor Hard,"$300,000",Richey Reneberg,Jacco Eltingh Paul Haarhuis,
1993,Adelaide,Adelaide,1993.01.04,32,16,Outdoor Hard,"$182,500",Nicklas Kulti,Mark Woodforde Todd Woodbridge,
1993,Jakarta,Jakarta,1993.01.11,32,16,Outdoor Hard,"$300,000",Michael Chang,Diego Nargiso Guillaume Raoux,
1993,Sydney-1,Sydney,1993.01.11,32,16,Outdoor Hard,"$300,000",Pete Sampras,Jason Stoltenberg Sandon Stolle,
1993,Auckland,Auckland,1993.01.11,32,16,Outdoor Hard,"$182,500",Alexander Volkov,Grant Connell Patrick Galbraith,
1993,Australian Open,Melbourne,1993.01.18,128,64,Outdoor Hard,"$2,409,105",Jim Courier,Danie Visser Laurie Warder,
